symbol
AAPL
MSFT
GOOGL
AMZN
META
TSLA
NVDA
NFLX
AMD
INTC
SPY
QQQ
DIA
IWM
VTI
VOO
ARKK
XLK
XLF
XLY
XLE
XLI
XLB
XLV
XLC
XLU
BTC-USD
ETH-USD
SOL-USD
ADA-USD
DOGE-USD
XRP-USD
LTC-USD
AVAX-USD
DOT-USD
BNB-USD
BRK-B
JNJ
V
MA
JPM
UNH
HD
PG
DIS
BAC
KO
PFE
PEP
T
CSCO
ORCL
IBM
CRM
BABA
TM
NSRGY
VWAGY
TSM
NIO
